model,feat,roc,roc
DMPNN,,0.9309027134119804,0.028380271662165488
DMPNN,AtomPairFP,0.9355289883618564,0.022783493746106307
DMPNN,Autocorr,0.9304056467970142,0.026056257037419386
DMPNN,AvalonFP,0.9297021997145778,0.021140912978565282
DMPNN,Charge,0.9383561819465095,0.021989473582618126
DMPNN,Connectivity,0.9400263181158854,0.023173992036788663
DMPNN,Constitution,0.9393882700277294,0.014851213482273678
DMPNN,Estate,0.9369686821035161,0.014776939236725859
DMPNN,EstateFP,0.9376840897743091,0.01770209655410175
DMPNN,Fragment,0.9359882390922565,0.025886184278210208
DMPNN,InfoContent,0.942338983820058,0.020732908884674228
DMPNN,Kappa,0.9349822057696727,0.02555954214758209
DMPNN,MACCSFP,0.9354640597029036,0.024083673535226217
DMPNN,MAP4,0.9398382070283784,0.024138415189460825
DMPNN,MHFP6,0.9248483518012078,0.026132911384546032
DMPNN,MOE,0.9462412058268977,0.0188434035740917
DMPNN,Matrix,0.9369476406554644,0.026301830729332235
DMPNN,MorganFP,0.919592560765758,0.028819974801985095
DMPNN,Path,0.9343269312784465,0.024168896171076062
DMPNN,PharmacoErGFP,0.9334874169452677,0.026183525396092016
DMPNN,PharmacoPFP,0.9311354844078966,0.023949494490222167
DMPNN,Property,0.9441669347442406,0.023958758281805766
DMPNN,PubChemFP,0.9276526389275537,0.028650389492328794
DMPNN,RDkitFP,0.940362985494626,0.018605164904054918
DMPNN,Topology,0.9374816309531917,0.02599783219354641
DMPNN,TorsionFP,0.9178195486501449,0.025722585817872085
fcnn,AtomPairFP,0.9416898825229163,0.024587181295317166
fcnn,Autocorr,0.9152203699039587,0.03418411087479926
fcnn,AvalonFP,0.934382527112696,0.029434651698962814
fcnn,Charge,0.826838685370428,0.05081448653927822
fcnn,Connectivity,0.8514829263220983,0.0537706976135757
fcnn,Constitution,0.8968558941635439,0.026271676933239903
fcnn,Estate,0.8902332979004971,0.019765285723589255
fcnn,EstateFP,0.8425633140755207,0.04476467442263619
fcnn,Fragment,0.8592568567656977,0.03198833120156398
fcnn,InfoContent,0.8354721014408388,0.030350600289992608
fcnn,Kappa,0.7870179690461317,0.029911574693099092
fcnn,MACCSFP,0.902575769004564,0.041896278011924734
fcnn,MAP4,0.9392504770555951,0.025116186100962515
fcnn,MHFP6,0.8502633790565015,0.061936749007891125
